time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
4.988,0.1054929820058292,1.0605083138945304,-0.07341332890768178,-0.8917312219510646,0.05667068046573496,-0.33779649604932355,-0.2936732234720501,0.340968063701342,0.7457432180033842,1,left
4.992,0.10308471801098595,1.0655163421960123,-0.07368084729807213,-0.9093819113917136,0.06045921306466328,-0.35132989080082966,-0.29640208278580554,0.3373055450403662,0.7537172892502445,1,left
4.993,0.10065480348393832,1.0706341594099493,-0.07391201097873949,-0.9274168092889176,0.0646242761010241,-0.36526423216815423,-0.299163604204211,0.3338224832411584,0.7619416403285959,1,left
4.996,0.0982064818730839,1.0758590841528477,-0.07410577256117148,-0.9458531904651306,0.06919102756112298,-0.3795899922048972,-0.3019589279509562,0.330520958219501,0.7704193954198723,1,left
4.997,0.09574311958091554,1.0811881933400502,-0.07426108785225516,-0.9647082813438,0.07418519492273297,-0.3942975159073693,-0.3047891953623133,0.32740282505547585,0.7791536452914398,1,left
5.003,0.09326820170195184,1.0866183204242947,-0.07437691541100065,-0.983999236262828,0.07963304492583644,-0.4093770275054938,-0.3076555473927087,0.3244697128374444,0.7881474371713388,1,left
5.004,0.0907853275161125,1.0921460539274792,-0.074452216079941,-1.003743112943068,0.08556135191220456,-0.4248186363155488,-0.3105591231168041,0.32172302366821837,0.7974037645118842,1,left
5.007,0.08829820576602848,1.0977677362507086,-0.07448595250724106,-1.0239568471660587,0.09199736474821803,-0.4406123421969785,-0.3135010582362216,0.3191639318244661,0.8069255566672225,1,left
5.008,0.085810649744549,1.103479462750984,-0.07447708868084843,-1.04465722671645,0.09896877234663681,-0.45674804065657265,-0.31648248359914793,0.31679338306093247,0.8167156685106894,1,left
5.013,0.0833265722152735,1.1092770810773593,-0.0744245895019985,-1.0658608646458758,0.1065036678044082,-0.4732155276443525,-0.31950452374116245,0.31461209405158347,0.8267768700185644,1,left
5.015,0.08084998018498825,1.1151561907654584,-0.07432742043012286,-1.0875841719163801,0.1146305111750616,-0.490004504086511,-0.3225682954557423,0.3126205519603265,0.8371118358475813,1,left
5.016,0.07838496954248256,1.1211121430967417,-0.07418454723200833,-1.1098433294828967,0.12337809089577761,-0.5071045802017407,-0.325674906403012,0.3108190141344975,0.8477231349343274,1,left
5.016,0.07593571957291552,1.1271400412370405,-0.07399493586369554,-1.132654259875731,0.1327754838908386,-0.5245052796482327,-0.3288254537654216,0.3092075079148499,0.8586132201454377,1,left
5.021,0.07350648735235199,1.1332347406766605,-0.07375755250801953,-1.1560325983454856,0.14285201437486875,-0.542196043549555,-0.3320210229591573,0.3077858305563257,0.8697844180082813,1,left
5.021,0.07110160202719595,1.1393908499994287,-0.07347136378996222,-1.1799936636344057,0.15363721138105604,-0.5601662344485111,-0.33526268641021095,0.306553549254431,0.8812389185526277,1,left
5.026,0.06872545898871284,1.1456027320079727,-0.07313533719623291,-1.204552428439712,0.16516076504141503,-0.5784051402389446,-0.33855150240028337,0.3055100012720506,0.8929787652869561,1,left
5.026,0.06638251395855034,1.15186450522835,-0.07274844172765436,-1.229723489636107,0.17745248164810162,-0.5969019781262874,-0.3418885139684348,0.3046542941593819,0.9050058452957465,1,left
5.027,0.06407727700350836,1.1581700458120519,-0.07230964880802442,-1.255521038326328,0.19054223752682675,-0.615645898668451,-0.3452747478196242,0.3039853060553694,0.9173218793762714,1,left
5.031000000000001,0.061814306500661144,1.1645129898486493,-0.0718179334648065,-1.281958829790326,0.2044599317555371,-0.6346259899494344,-0.34871121317202425,0.3035016860568657,0.9299284120960916,1,left
5.031000000000001,0.05959820308096946,1.1708867360981772,-0.071272275790922,-1.3090501534054082,0.21923543776373786,-0.653831281938762,-0.35219890049452707,0.3032018546449797,0.9428268016914179,1,left
